Number,Rider,Team ,Team_code
1,TADEJ POGAČAR  ,UAE Team Emirates,UAD
2,GEORGE BENNETT  ,UAE Team Emirates,UAD
3,MIKKEL BJERG  ,UAE Team Emirates,UAD
4,VEGARD STAKE LAENGEN  ,UAE Team Emirates,UAD
5,RAFAL MAJKA  ,UAE Team Emirates,UAD
6,BRANDON MCNULTY  ,UAE Team Emirates,UAD
7,MARC SOLER  ,UAE Team Emirates,UAD
8,MARC HIRSCHI ,UAE Team Emirates,UAD
11,PRIMOŽ ROGLIČ  ,Jumbo-Visma,TJV
12,TIESJ BENOOT  ,Jumbo-Visma,TJV
13,STEVEN KRUIJSWIJK  ,Jumbo-Visma,TJV
14,SEPP KUSS  ,Jumbo-Visma,TJV
15,CHRISTOPHE LAPORTE  ,Jumbo-Visma,TJV
16,WOUT VAN AERT  ,Jumbo-Visma,TJV
17,NATHAN VAN HOOYDONCK  ,Jumbo-Visma,TJV
18,JONAS VINGEGAARD ,Jumbo-Visma,TJV
21,GERAINT THOMAS  ,Ineos Grenadiers,IGD
22,DANIEL MARTINEZ POVEDA  ,Ineos Grenadiers,IGD
23,JONATHAN CASTROVIEJO NICOLAS  ,Ineos Grenadiers,IGD
24,FILIPPO GANNA  ,Ineos Grenadiers,IGD
25,THOMAS PIDCOCK  ,Ineos Grenadiers,IGD
26,LUKE ROWE  ,Ineos Grenadiers,IGD
27,DYLAN VAN BAARLE  ,Ineos Grenadiers,IGD
28,ADAM YATES ,Ineos Grenadiers,IGD
31,BEN O'CONNOR  ,AG2R Citroen Team,ACT
32,GEOFFREY BOUCHARD  ,AG2R Citroen Team,ACT
33,MIKAEL CHEREL  ,AG2R Citroen Team,ACT
34,BENOIT COSNEFROY  ,AG2R Citroen Team,ACT
35,STAN DEWULF  ,AG2R Citroen Team,ACT
36,BOB JUNGELS  ,AG2R Citroen Team,ACT
37,OLIVER NAESEN  ,AG2R Citroen Team,ACT
38,AURÉLIEN PARET PEINTRE ,AG2R Citroen Team,ACT
41,ALEKSANDR VLASOV  ,Bora-Hansgrohe,BOH
42,FELIX GROSSSCHARTNER  ,Bora-Hansgrohe,BOH
43,MARCO HALLER  ,Bora-Hansgrohe,BOH
44,LENNARD KÄMNA  ,Bora-Hansgrohe,BOH
45,PATRICK KONRAD  ,Bora-Hansgrohe,BOH
46,NILS POLITT  ,Bora-Hansgrohe,BOH
47,MAXIMILIAN SCHACHMANN  ,Bora-Hansgrohe,BOH
48,DANNY VAN POPPEL ,Bora-Hansgrohe,BOH
51,FABIO JAKOBSEN  ,Quick-Step Alpha Vinyl Team,QST
52,KASPER ASGREEN  ,Quick-Step Alpha Vinyl Team,QST
53,ANDREA BAGIOLI  ,Quick-Step Alpha Vinyl Team,QST
54,MATTIA CATTANEO  ,Quick-Step Alpha Vinyl Team,QST
55,MIKKEL HONORÉ  ,Quick-Step Alpha Vinyl Team,QST
56,YVES LAMPAERT  ,Quick-Step Alpha Vinyl Team,QST
57,MICHAEL MØRKØV  ,Quick-Step Alpha Vinyl Team,QST
58,FLORIAN SENECHAL ,Quick-Step Alpha Vinyl Team,QST
61,ENRIC MAS NICOLAU  ,Movistar Team,MOV
